pair,category,metric_a,metric_b,metric_c,mi,network
"('Cloudy', 'Sprinkler')",mec_edge,0.14982315843797211,0.14985818452453692,1.3721308566147203e-09,0.07409361248394811,sprinkler
"('Cloudy', 'Rain')",mec_edge,0.0003318811570197644,0.00033195874514592324,0.05213492109943557,0.18393462960394327,sprinkler
"('Cloudy', 'Wet_Grass')",no_edge,0.05064221879586639,0.05065405807864424,0.009790003696249654,0.030075150874356027,sprinkler
"('Sprinkler', 'Rain')",no_edge,0.14949127728095257,0.1495758788004217,0.03158672306554898,0.022244796971151365,sprinkler
"('Sprinkler', 'Wet_Grass')",pc_solved,0.0991809396421055,0.10449734081668494,9.301221191120841e-49,0.09253086340276176,sprinkler
"('Rain', 'Wet_Grass')",pc_solved,0.05031033763884685,0.05033880974161228,7.397947220511074e-07,0.1922668695319868,sprinkler
"('asia', 'bronc')",no_edge,0.8876121794051124,0.8930725378845488,0.0,0.001774386633692178,asia
"('asia', 'dysp')",no_edge,0.8852960762217211,0.8928227773101405,0.0,0.0016662753912886855,asia
"('asia', 'either')",no_edge,0.23684921404736076,0.6902751417466715,0.0,0.0005601676395668338,asia
"('asia', 'lung')",no_edge,0.19687789728153193,0.6494371228410062,0.0,3.8567347611733437e-05,asia
"('asia', 'smoke')",no_edge,0.8937263069153402,0.8937263060216137,0.01775682988036087,0.0005875822839410474,asia
"('asia', 'tub')",mec_edge,0.025480557188748615,0.23976354081048812,0.0,0.0011723879908593126,asia
"('asia', 'xray')",no_edge,0.4344767848788269,0.8034699954619259,0.0,2.231479675885925e-05,asia
"('bronc', 'dysp')",mec_edge,0.0023161031833913714,0.0023303512457209766,0.43809091440924974,0.25961249127183056,asia
"('bronc', 'either')",no_edge,0.6507629653577519,0.6547662892850732,0.4767442030770987,0.003320744466606726,asia
"('bronc', 'lung')",no_edge,0.6907342821235802,0.694983499159965,0.34893657513812054,0.0035489014216776443,asia
"('bronc', 'smoke')",pc_solved,0.006114127510227774,0.006114127504113645,0.3412696919911221,0.055315979125520665,asia
"('bronc', 'tub')",no_edge,0.9130927365938611,0.9187098448112286,0.0,4.2931263917224405e-05,asia
"('bronc', 'xray')",no_edge,0.4531353945262857,0.4559229652145253,0.59463410700457,0.0017404779349452504,asia
"('dysp', 'either')",mec_edge,0.6484468621743603,0.653959894293671,0.00040310277830981137,0.019383170812512313,asia
"('dysp', 'lung')",no_edge,0.6884181789401889,0.6942710433048777,0.00033730225686830976,0.01825880476273766,asia
"('dysp', 'smoke')",no_edge,0.008430230693619256,0.008430230685188913,0.3653321862665856,0.03793433790685338,asia
"('dysp', 'tub')",no_edge,0.9107766334104697,0.9185199677164954,0.3705568609951095,0.0013283753885514546,asia
"('dysp', 'xray')",no_edge,0.4508192913428942,0.45465211308690606,0.4283368507052357,0.0087371753626804,asia
"('either', 'lung')",pc_solved,0.039971316765828525,0.11649270806031105,1.0,0.1823911422539808,asia
"('either', 'smoke')",no_edge,0.6568770928679797,0.6568770922111026,3.337632357309316e-08,0.023604301484897564,asia
"('either', 'tub')",pc_solved,0.2623297712361093,0.764535870438516,1.0,0.02826400646423846,asia
"('either', 'xray')",pc_solved,0.19762757083146618,0.36546906294060044,0.20132066309795685,0.14412575990893922,asia
"('lung', 'smoke')",pc_solved,0.6968484096338081,0.6968484089369595,4.438618695118088e-09,0.027062035423639785,asia
"('lung', 'tub')",no_edge,0.22235845447028074,0.7334893195453587,0.0,0.0005580009447366183,asia
"('lung', 'xray')",no_edge,0.23759888759729456,0.4393872901466967,0.21214442318721072,0.11771470360039457,asia
"('smoke', 'tub')",no_edge,0.9192068641040888,0.9192068631848819,0.009763989845611887,0.00020337533890161033,asia
"('smoke', 'xray')",no_edge,0.4592495220365135,0.4592495215772637,0.001208345658608677,0.009947915482568528,asia
"('tub', 'xray')",no_edge,0.4599573420675754,0.8505907252254757,0.5764643173711257,0.021239094266736265,asia
"('Akt', 'Erk')",pc_solved,0.11089590890300016,0.08075097597140944,7.17358016660771e-47,0.2535617205026872,sachs
"('Akt', 'Jnk')",no_edge,0.06251245840812292,0.04718192371930461,1.1710811037361827e-08,0.07394771196368242,sachs
"('Akt', 'Mek')",no_edge,0.08892931290792494,0.06580820757289568,1.1951007668966084e-25,0.19455750230587676,sachs
"('Akt', 'P38')",no_edge,0.1331965567184743,0.10550962410152295,1.8473558511255976e-08,0.06755106867990486,sachs
"('Akt', 'PIP2')",no_edge,0.5213865387716163,0.4130084070691101,0.4165195992261023,0.001780793423232365,sachs
"('Akt', 'PIP3')",no_edge,0.277650784115381,0.18028543222952317,0.27384699190665074,0.0009022112110787378,sachs
"('Akt', 'PKA')",mec_edge,0.05160400171946544,0.040877324141818244,2.7202715759054456e-13,0.14465790211695384,sachs
"('Akt', 'PKC')",no_edge,0.09293971473258877,0.06857242439598378,2.4588849100958e-07,0.0663958673676993,sachs
"('Akt', 'Plcg')",no_edge,0.45925427902033444,0.3637912836505833,0.022986006071923915,0.0007556219849170383,sachs
"('Akt', 'Raf')",no_edge,0.21746090795867978,0.14694571997956893,4.205311285598113e-21,0.11475686106905762,sachs
"('Erk', 'Jnk')",no_edge,0.0483834504948768,0.035231334383517256,0.007533848887124831,0.02424400929505542,sachs
"('Erk', 'Mek')",pc_solved,0.021966595995075222,0.015995396790728873,9.253940751774597e-14,0.08616542071843318,sachs
"('Erk', 'P38')",no_edge,0.24409246562147402,0.17774059495235786,0.0009368368730513799,0.03616121012517322,sachs
"('Erk', 'PIP2')",no_edge,0.6322824476746167,0.4604085510852917,0.06569544799813556,0.00434497125135724,sachs
"('Erk', 'PIP3')",no_edge,0.16675487521238108,0.10827801135094596,0.11644991972694363,0.0004598302143704186,sachs
